Date_collected,Plot,Species,Sex,Weight,Month,Year,Day,Julian_day
1/8/15,3,PF,M,7,1.00,2015,8,8
2/18/15,3,OT,M,24,2.00,2015,18,49
2/19/15,3,OT,F,23,2.00,2015,19,50
3/11/15,3,NA,M,232,3.00,2015,11,70
3/11/15,3,OT,F,22,3.00,2015,11,70
3/11/15,3,OT,M,26,3.00,2015,11,70
3/11/15,3,PF,M,8,3.00,2015,11,70
4/8/15,3,NA,F,,4.00,2015,8,98
5/6/15,3,,,,5.00,2015,6,126
5/18/15,3,NA,F,182,5.00,2015,18,138
6/9/15,3,OT,F,29,6.00,2015,9,160
7/8/15,3,NA,F,115,7.00,2015,8,189
7/8/15,3,NA,M,190,7.00,2015,8,189